city,state,type
boise,ID,fortune
boise,ID,fortune
burlington,NC,fortune
fremont,CA,fortune
fremont,CA,fortune
dublin,CA,fortune
oakland,CA,fortune
pittsburgh,PA,fortune
pittsburgh,PA,fortune
pittsburgh,PA,fortune
pittsburgh,PA,fortune
fort wayne,IN,fortune
centennial,CO,fortune
columbus,IN,fortune
bentonville,AR,fortune
san antonio,TX,fortune
san antonio,TX,fortune
san antonio,TX,fortune
san antonio,TX,fortune
san antonio,TX,fortune
melbourne,FL,fortune
broomfield,CO,fortune
broomfield,CO,fortune
fort lauderdale,FL,fortune
fairfield,OH,fortune
battle creek,MI,fortune
camden,NJ,fortune
chesapeake,VA,fortune
las vegas,NV,fortune
las vegas,NV,fortune
atlanta,GA,fortune
atlanta,GA,fortune
atlanta,GA,fortune
plano,TX,fortune
plano,TX,fortune
plano,TX,fortune
plano,TX,fortune
san ramon,CA,fortune
glenview,IL,fortune
glenview,IL,fortune
chicago,IL,fortune
hoffman estates,IL,fortune
chicago,IL,fortune
chicago,IL,fortune
chicago,IL,fortune
chicago,IL,fortune
chicago,IL,fortune
chicago,IL,fortune
chicago,IL,fortune
chicago,IL,fortune
cleveland,OH,fortune
cleveland,OH,fortune
cleveland,OH,fortune
irving,TX,fortune
irving,TX,fortune
irving,TX,fortune
irving,TX,fortune
irving,TX,fortune
irving,TX,fortune
dallas,TX,fortune
dallas,TX,fortune
dallas,TX,fortune
dallas,TX,fortune
dallas,TX,fortune
dallas,TX,fortune
dallas,TX,fortune
dallas,TX,fortune
madison,WI,fortune
nashville,TN,fortune
denver,CO,fortune
washington,DC,fortune
washington,DC,fortune
omaha,NE,fortune
omaha,NE,fortune
omaha,NE,fortune
downers grove,IL,fortune
downers grove,IL,fortune
durham,NC,fortune
jacksonville,FL,fortune
jacksonville,FL,fortune
jacksonville,FL,fortune
lansing,MI,fortune
el paso,TX,fortune
buffalo,NY,fortune
erie,PA,fortune
newark,NJ,fortune
newark,NJ,fortune
danbury,CT,fortune
fairfield,CT,fortune
greenwich,CT,fortune
greenwich,CT,fortune
norwalk,CT,fortune
norwalk,CT,fortune
norwalk,CT,fortune
norwalk,CT,fortune
stamford,CT,fortune
stamford,CT,fortune
stamford,CT,fortune
stamford,CT,fortune
columbus,OH,fortune
dublin,OH,fortune
columbus,OH,fortune
columbus,OH,fortune
columbus,OH,fortune
atlanta,GA,fortune
atlanta,GA,fortune
atlanta,GA,fortune
atlanta,GA,fortune
atlanta,GA,fortune
hoboken,NJ,fortune
atlanta,GA,fortune
atlanta,GA,fortune
atlanta,GA,fortune
