City,State,Merge_Key,State_FIPS,Place_FIPS,NAME,Total_Population,Median_Household_Income,Median_Housing_Value,Owner_Occupied_Units,Bachelors_Degree_Count,Masters_Degree_Count,Unemployed_Count,Unemployment_Rate,Bachelors_Or_Higher_Rate
New York,NY,"new york,NY",36,51000,New York city,8622467.0,76607.0,732100.0,1081125.0,1423801.0,736281.0,336820.0,0.03906306628949696,0.25051786223130806
Los Angeles,CA,"los angeles,CA",06,44000,Los Angeles city,3881041.0,76244.0,822600.0,512444.0,652185.0,226283.0,164867.0,0.042480097479001125,0.22634854926809586
Chicago,IL,"chicago,IL",17,14000,Chicago city,2721914.0,71673.0,304500.0,515235.0,466629.0,239265.0,123341.0,0.045314069437902886,0.2593373633406493
Houston,TX,"houston,TX",48,35000,Houston city,2296253.0,60440.0,235000.0,376562.0,316987.0,140001.0,79148.0,0.03446832731410694,0.19901465561503895
Phoenix,AZ,"phoenix,AZ",04,55000,Phoenix city,1609456.0,72092.0,340200.0,333631.0,203364.0,88530.0,44211.0,0.027469530077243492,0.18136190116412004
Philadelphia,PA,"philadelphia,PA",42,60000,Philadelphia city,1593208.0,57537.0,215500.0,344149.0,204967.0,107311.0,69721.0,0.043761392109504846,0.1960057945980688
San Antonio,TX,"san antonio,TX",48,65000,San Antonio city,1445662.0,59593.0,198000.0,281930.0,160023.0,69197.0,43346.0,0.029983495450527163,0.15855711777718443
San Diego,CA,"san diego,CA",06,66000,San Diego city,1383987.0,98657.0,783300.0,245323.0,275333.0,127383.0,45138.0,0.032614468199484534,0.29098250200327025
Dallas,TX,"dallas,TX",48,19000,Dallas city,1300642.0,63985.0,270700.0,218575.0,191905.0,79467.0,34605.0,0.02660609145329768,0.2086446539478196
San Jose,CA,"san jose,CA",06,68000,San Jose city,1001176.0,136010.0,1149600.0,181299.0,183113.0,102322.0,26212.0,0.02618121089598632,0.28509972272607415
Austin,TX,"austin,TX",48,05000,Austin city,958202.0,86556.0,461500.0,188029.0,236239.0,104697.0,26244.0,0.027388796934258122,0.3558080655227186
Jacksonville,FL,"jacksonville,FL",12,35000,Jacksonville city,950203.0,64138.0,243000.0,214163.0,134743.0,48076.0,23059.0,0.024267446008905465,0.19239993980233697
Fort Worth,TX,"fort worth,TX",48,27000,Fort Worth city,924663.0,72726.0,250300.0,185371.0,119522.0,47136.0,25246.0,0.027302920090887167,0.1802364753429087
Columbus,OH,"columbus,OH",39,18000,Columbus city,902449.0,62994.0,212500.0,170936.0,145600.0,60903.0,26576.0,0.029448755552945374,0.22882511920341206
Indianapolis,IN,"indianapolis,IN",,,,,,,,,,,,
Charlotte,NC,"charlotte,NC",37,12000,Charlotte city,875045.0,74070.0,312800.0,184774.0,176612.0,73335.0,23762.0,0.027155174876720627,0.2856390242787514
San Francisco,CA,"san francisco,CA",06,67000,San Francisco city,851036.0,136689.0,1348700.0,139117.0,238669.0,111452.0,28177.0,0.03310905766618569,0.4114056279640344
Seattle,WA,"seattle,WA",53,63000,Seattle city,734603.0,116068.0,879900.0,153477.0,207157.0,109614.0,19929.0,0.02712893903237531,0.4312138665374359
Denver,CO,"denver,CO",08,20000,Denver city,710800.0,85853.0,540400.0,159483.0,172213.0,74659.0,20305.0,0.028566404051772652,0.34731570061902084
Washington,DC,"washington,DC",11,50000,Washington city,670587.0,101722.0,705000.0,130865.0,124860.0,109410.0,28264.0,0.04214814781676352,0.34935064354065914
Nashville,TN,"nashville,TN",,,,,,,,,,,,
Oklahoma City,OK,"oklahoma city,OK",40,55000,Oklahoma City city,681088.0,64251.0,196700.0,160755.0,94053.0,36658.0,15718.0,0.023077781432061642,0.19191499483179852
El Paso,TX,"el paso,TX",48,24000,El Paso city,677181.0,55710.0,159300.0,142557.0,77392.0,28585.0,21516.0,0.03177289380534894,0.1564973027890623
Boston,MA,"boston,MA",25,07000,Boston city,665945.0,89212.0,684900.0,96186.0,131473.0,74993.0,26251.0,0.03941917125288125,0.31003461246799663
Portland,OR,"portland,OR",41,59000,Portland city,646101.0,85876.0,523100.0,151284.0,152451.0,68872.0,21803.0,0.03374549799489553,0.342551706312171
Las Vegas,NV,"las vegas,NV",32,40000,Las Vegas city,644835.0,66356.0,365300.0,131837.0,74450.0,28507.0,23725.0,0.03679235773492444,0.159664100118635
Detroit,MI,"detroit,MI",26,22000,Detroit city,636787.0,37761.0,66700.0,121734.0,41600.0,22130.0,39893.0,0.06264732163188005,0.1000805606898382
Memphis,TN,"memphis,TN",47,48000,Memphis city,630027.0,48090.0,139600.0,117165.0,69869.0,31527.0,26828.0,0.04258230202832577,0.16093913435455942
Louisville,KY,"louisville,KY",21,48000,Louisville city,,,,,,,,,
