Merge_Key,Total_Population_2021,Median_Household_Income_2021,Median_Housing_Value_2021,Owner_Occupied_Units_2021,Bachelors_Degree_Count_2021,Masters_Degree_Count_2021,Unemployed_Count_2021,Unemployment_Rate_2021,Bachelors_Or_Higher_Rate_2021,Total_Population_2022,Median_Household_Income_2022,Median_Housing_Value_2022,Owner_Occupied_Units_2022,Bachelors_Degree_Count_2022,Masters_Degree_Count_2022,Unemployed_Count_2022,Unemployment_Rate_2022,Bachelors_Or_Higher_Rate_2022,Total_Population_2023,Median_Household_Income_2023,Median_Housing_Value_2023,Owner_Occupied_Units_2023,Bachelors_Degree_Count_2023,Masters_Degree_Count_2023,Unemployed_Count_2023,Unemployment_Rate_2023,Bachelors_Or_Higher_Rate_2023,fortune,sbs,count,water_0,water_beach,water_coastline,water_harbor_harbour,water_lake,water_marina,water_river,n_restaurants_PER_10K,n_cuisine_PER_10K_PER_10K,n_cuisine_mexican_PER_10K_PER_10K,n_cuisine_pizza_PER_10K_PER_10K,n_cuisine_american_PER_10K_PER_10K,n_cuisine_japanese_PER_10K_PER_10K,n_cuisine_thai_PER_10K_PER_10K,n_cuisine_sushi_PER_10K_PER_10K,n_cuisine_italian_PER_10K_PER_10K,n_cuisine_chinese_PER_10K_PER_10K,n_cuisine_korean_PER_10K_PER_10K,n_cuisine_burger_PER_10K_PER_10K,n_cuisine_mediterranean_PER_10K_PER_10K,n_cuisine_breakfast_PER_10K_PER_10K,n_cuisine_seafood_PER_10K_PER_10K,n_cuisine_asian_PER_10K_PER_10K,n_cuisine_indian_PER_10K_PER_10K,n_cuisine_barbecue_PER_10K_PER_10K,n_cuisine_sandwich_PER_10K_PER_10K,n_cuisine_steak_house_PER_10K_PER_10K,n_cuisine_vietnamese_PER_10K_PER_10K,n_cuisine_noodle_PER_10K_PER_10K,n_cuisine_chicken_PER_10K_PER_10K,n_cuisine_ramen_PER_10K_PER_10K,n_cuisine_french_PER_10K_PER_10K,n_cuisine_pasta_PER_10K_PER_10K,n_cuisine_filipino_PER_10K_PER_10K,n_cuisine_coffee_shop_PER_10K_PER_10K,n_cuisine_salad_PER_10K_PER_10K,n_cuisine_pancake_PER_10K_PER_10K,n_cuisine_peruvian_PER_10K_PER_10K,n_cuisine_hawaiian_PER_10K_PER_10K,n_cuisine_greek_PER_10K_PER_10K,n_cuisine_regional_PER_10K_PER_10K,n_cuisine_poke_PER_10K_PER_10K,n_cuisine_lebanese_PER_10K_PER_10K,n_cuisine_kebab_PER_10K_PER_10K,n_cuisine_fish_PER_10K_PER_10K,n_cuisine_spanish_PER_10K_PER_10K,n_cuisine_diner_PER_10K_PER_10K,n_cuisine_tacos_PER_10K_PER_10K,n_cuisine_dessert_PER_10K_PER_10K,n_cuisine_deli_PER_10K_PER_10K,n_cuisine_ice_cream_PER_10K_PER_10K,n_cuisine_brazilian_PER_10K_PER_10K,n_cuisine_middle_eastern_PER_10K_PER_10K,n_cuisine_tex-mex_PER_10K_PER_10K,n_cuisine_lunch_PER_10K_PER_10K,n_cuisine_grill_PER_10K_PER_10K,n_cuisine_brunch_PER_10K_PER_10K,n_cuisine_southern_PER_10K_PER_10K,n_cuisine_italian_pizza_PER_10K_PER_10K,n_cuisine_latin_american_PER_10K_PER_10K,n_cuisine_wings_PER_10K_PER_10K,n_cuisine_german_PER_10K_PER_10K,n_cuisine_steak_PER_10K_PER_10K,n_cuisine_bagel_PER_10K_PER_10K,n_cuisine_tapas_PER_10K_PER_10K,n_cuisine_fish_and_chips_PER_10K_PER_10K,n_cuisine_international_PER_10K_PER_10K,n_cuisine_jamaican_PER_10K_PER_10K,n_cuisine_turkish_PER_10K_PER_10K,n_cuisine_cajun_PER_10K_PER_10K,n_cuisine_soup_PER_10K_PER_10K,n_cuisine_buffet_PER_10K_PER_10K,n_cuisine_donut_PER_10K_PER_10K,n_cuisine_mongolian_grill_PER_10K_PER_10K,n_cuisine_caribbean_PER_10K_PER_10K,n_cuisine_hot_dog_PER_10K_PER_10K,n_cuisine_bar_and_grill_PER_10K_PER_10K,n_venues_PER_10K_PER_10K,n_venue_type_PER_10K_PER_10K,n_venue_bar_PER_10K_PER_10K,n_venue_fitness_centre_PER_10K_PER_10K,n_venue_theatre_PER_10K_PER_10K,n_venue_sports_centre_PER_10K_PER_10K,n_venue_cinema_PER_10K_PER_10K,n_venue_public_bookcase_PER_10K_PER_10K,n_venue_pub_PER_10K_PER_10K,n_venue_nightclub_PER_10K_PER_10K,n_venue_arts_centre_PER_10K_PER_10K,n_venue_stadium_PER_10K_PER_10K,n_venue_public_building_PER_10K_PER_10K,n_venue_casino_PER_10K_PER_10K,n_cafe_PER_10K_PER_10K,n_cafe_cuisine_PER_10K_PER_10K,n_cafe_brand_PER_10K_PER_10K,n_cafe_brand_Starbucks_PER_10K_PER_10K,n_cafe_brand_Dunkin'_PER_10K_PER_10K,n_cafe_amenity_cafe_PER_10K_PER_10K,n_cafe_amenity_fast_food_PER_10K_PER_10K,n_cafe_cuisine_coffee_shop_PER_10K_PER_10K,n_cafe_cuisine_bubble_tea_PER_10K_PER_10K,n_cafe_cuisine_donut_PER_10K_PER_10K,n_cafe_cuisine_sandwich_PER_10K_PER_10K,n_cafe_cuisine_breakfast_PER_10K_PER_10K,n_cafe_cuisine_american_PER_10K_PER_10K,n_cafe_cuisine_coffee_PER_10K_PER_10K,n_cafe_cuisine_pastry_PER_10K_PER_10K,n_cafe_cuisine_tea_PER_10K_PER_10K,n_cafe_cuisine_dessert_PER_10K_PER_10K,n_cafe_cuisine_bagel_PER_10K_PER_10K,n_cafe_cuisine_ice_cream_PER_10K_PER_10K,n_cafe_brand_Tim_Hortons_PER_10K_PER_10K,n_cafe_brand_Dutch_Bros._Coffee_PER_10K_PER_10K,amenity_arts_centre_PER_10K_PER_10K,amenity_bar_PER_10K_PER_10K,amenity_community_centre_PER_10K_PER_10K,amenity_concert_hall_PER_10K_PER_10K,amenity_music_venue_PER_10K_PER_10K,amenity_nightclub_PER_10K_PER_10K,amenity_parking_PER_10K_PER_10K,amenity_pub_PER_10K_PER_10K,amenity_school_PER_10K_PER_10K,amenity_theatre_PER_10K_PER_10K,leisure_park_PER_10K_PER_10K,leisure_stadium_PER_10K_PER_10K,tourism_artwork_PER_10K_PER_10K,tourism_attraction_PER_10K_PER_10K,tourism_gallery_PER_10K_PER_10K,tourism_museum_PER_10K_PER_10K,tourism_picnic_site_PER_10K_PER_10K,tourism_viewpoint_PER_10K_PER_10K,tourism_yes_PER_10K_PER_10K,arts_theatre_events_PER_10K_PER_10K,music_events_PER_10K_PER_10K,other_events_PER_10K_PER_10K,sports_events_PER_10K_PER_10K,arts_theatre_venues_PER_10K_PER_10K,music_venues_PER_10K_PER_10K,other_venues_PER_10K_PER_10K,sports_venues_PER_10K_PER_10K
"abilene,TX",125474,54493,137800.0,24821,12479,5654,1815,0.01446514816,0.1445159953,126356,59254,161800,24865,13104,5545,1598,0.01264680743,0.1475909336,127130,62720,178900,25975,13865,5723,1563,0.01229450169,0.1540785023,0,11,11,0,0,0,0,0,0,1,6.8433886572799505,0.11755943955306773,0.05568605031461103,0.0433113724669197,0.05568605031461103,0.0,0.0,0.0,0.01237467784769134,0.00618733892384567,0.0,0.018562016771537012,0.0,0.01237467784769134,0.01237467784769134,0.018562016771537012,0.00618733892384567,0.01237467784769134,0.018562016771537012,0.01237467784769134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00618733892384567,0.0,0.0,0.01237467784769134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01237467784769134,0.0,0.0,0.0,0.0,0.0,0.0,0.01237467784769134,0.0,0.00618733892384567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01237467784769134,0.0,0.0,0.0,0.0,0.0,0.32174162403997486,0.05568605031461103,0.037124033543074024,0.05568605031461103,0.03093669461922835,0.09899742278153072,0.03093669461922835,0.0,0.018562016771537012,0.0,0.00618733892384567,0.037124033543074024,0.00618733892384567,0.0,0.1051847617053764,0.018562016771537012,0.018562016771537012,0.03093669461922835,0.00618733892384567,0.09899742278153072,0.00618733892384567,0.07424806708614805,0.0,0.018562016771537012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00618733892384567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03093669461922835,0.2969922683445922,0.037124033543074024,0.0,0.0,0.00618733892384567,0.04949871139076536,0.0,0.0,0.0,0.00618733892384567,0.0,0.0,0.0,0.00618733892384567,0.0,0.0,0.0
"akron,OH",191483,42129,87100.0,41753,18685,7021,8457,0.04416580062,0.1342469044,190273,46596,99700,42005,18762,7546,7475,0.03928565798,0.1382644936,189526,48544,111200,42563,19644,7326,7804,0.04117640851,0.1423023754,2,21,6,0,0,0,0,0,0,1,7.281322879182803,0.06403099380544801,0.03062351877651861,0.05289516879580487,0.013919781262053914,0.008351868757232348,0.0027839562524107826,0.008351868757232348,0.013919781262053914,0.036191431281340176,0.0,0.0027839562524107826,0.0027839562524107826,0.0027839562524107826,0.0,0.005567912504821565,0.0027839562524107826,0.0,0.0027839562524107826,0.0027839562524107826,0.0,0.0,0.0027839562524107826,0.0,0.0,0.0,0.0,0.0,0.0027839562524107826,0.0,0.0,0.0,0.0027839562524107826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005567912504821565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005567912504821565,0.0,0.0,0.0,0.0,0.0,0.0,0.0027839562524107826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3257228815320616,0.02783956252410783,0.11414220634884209,0.036191431281340176,0.02783956252410783,0.025055606271697044,0.01113582500964313,0.01113582500964313,0.058463081300626434,0.005567912504821565,0.008351868757232348,0.02783956252410783,0.0,0.0,0.0974384688343774,0.01113582500964313,0.013919781262053914,0.016703737514464696,0.005567912504821565,0.09187055632955583,0.005567912504821565,0.05567912504821566,0.0,0.008351868757232348,0.0,0.0027839562524107826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027839562524107826,0.0,0.008351868757232348,0.0,0.0,0.0,0.0,0.008351868757232348,0.0,0.0,0.0,0.03062351877651861,0.6625815880737663,0.041759343786161744,0.0,0.0,0.013919781262053914,0.025055606271697044,0.0,0.0,0.0,0.11971011885366366,0.10857429384402054,0.0,0.05289516879580487,0.013919781262053914,0.01948769376687548,0.0,0.0027839562524107826
"alameda,CA",78320,113339,972800.0,14477,20631,9182,1980,0.02528089888,0.3806562819,77565,129917,1147600,14411,20232,9343,2139,0.02757687101,0.381293109,76876,132015,1203900,14616,19464,9653,2070,0.02692647901,0.3787527967,0,6,55,0,0,0,0,0,0,1,15.86971226390551,0.6768281841955199,0.16920704604887998,0.186127750653768,0.050762113814663994,0.08460352302443999,0.15228634144399197,0.11844493223421598,0.016920704604888,0.21996915986354398,0.050762113814663994,0.050762113814663994,0.016920704604888,0.050762113814663994,0.016920704604888,0.033841409209776,0.0,0.050762113814663994,0.067682818419552,0.016920704604888,0.067682818419552,0.016920704604888,0.033841409209776,0.033841409209776,0.0,0.0,0.0,0.016920704604888,0.033841409209776,0.016920704604888,0.0,0.050762113814663994,0.033841409209776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033841409209776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016920704604888,0.016920704604888,0.016920704604888,0.0,0.016920704604888,0.0,0.0,0.0,0.0,0.0,0.0,0.016920704604888,0.0,0.0,0.0,0.0,1.1336872085274958,0.15228634144399197,0.25381056907331995,0.15228634144399197,0.016920704604888,0.270731273678208,0.016920704604888,0.21996915986354398,0.11844493223421598,0.0,0.067682818419552,0.016920704604888,0.0,0.0,0.6091453657759679,0.10152422762932799,0.067682818419552,0.135365636839104,0.0,0.59222466117108,0.0,0.321493387492872,0.10152422762932799,0.0,0.016920704604888,0.0,0.0,0.0,0.0,0.0,0.016920704604888,0.0,0.0,0.0,0.0,0.016920704604888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08460352302443999,1.387497777600816,0.033841409209776,0.0,0.0,0.067682818419552,0.10152422762932799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"albany,GA",70748,40036,101200.0,11479,5353,2659,3218,0.04548538475,0.1132470176,68926,43724,111200,11144,5481,2892,3073,0.04458404666,0.121478107,67939,45201,118700,10849,4905,3093,3321,0.0488820854,0.1177232517,0,12,1,0,0,0,0,1,0,0,20.31233900999426,0.8016105489448949,0.32497724957225477,0.23831664968632013,0.36830754951522204,0.06499544991445094,0.10832574985741825,0.02166514997148365,0.12999089982890188,0.15165604980038552,0.02166514997148365,0.1733211997718692,0.02166514997148365,0.0433302999429673,0.02166514997148365,0.0,0.12999089982890188,0.10832574985741825,0.06499544991445094,0.0866605998859346,0.06499544991445094,0.0,0.0,0.0,0.0433302999429673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02166514997148365,0.0,0.0,0.0,0.0,0.0,0.02166514997148365,0.0,0.02166514997148365,0.0,0.0,0.0,0.0,0.0,0.02166514997148365,0.0,0.0,0.0,0.0,0.0,0.02166514997148365,0.0,0.0,0.0,0.0,0.0,0.0,0.0433302999429673,0.0,0.02166514997148365,0.02166514997148365,0.0,0.0,0.0,0.0,1.646551397832757,0.19498634974335283,0.19498634974335283,0.15165604980038552,0.10832574985741825,0.41163784945818926,0.06499544991445094,0.5199635993156075,0.06499544991445094,0.0,0.0,0.10832574985741825,0.0,0.0,0.6282893491730257,0.10832574985741825,0.0866605998859346,0.12999089982890188,0.02166514997148365,0.6066241992015421,0.02166514997148365,0.5199635993156075,0.06499544991445094,0.02166514997148365,0.0433302999429673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06499544991445094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0433302999429673,1.0182620486597314,0.0433302999429673,0.0,0.0,0.0,0.02166514997148365,0.0,0.0,0.0,0.12999089982890188,0.02166514997148365,0.0,0.0433302999429673,0.02166514997148365,0.02166514997148365,0.0,0.02166514997148365
"albany,NY",99402,52583,186500.0,16200,13732,9201,4098,0.04122653468,0.2307096437,99692,54736,213400,15961,13837,8866,4441,0.04454720539,0.2277314128,100081,59485,223000,16585,15160,9255,4582,0.04578291584,0.2439523986,0,21,1,0,0,0,0,1,0,0,13.78883104685205,0.36940132748526283,0.14975729492645792,0.10982201627940248,0.16972493424998564,0.029951458985291585,0.049919098308819305,0.00998381966176386,0.05990291797058317,0.06988673763234703,0.00998381966176386,0.07987055729411088,0.00998381966176386,0.01996763932352772,0.00998381966176386,0.0,0.05990291797058317,0.049919098308819305,0.029951458985291585,0.03993527864705544,0.029951458985291585,0.0,0.0,0.0,0.01996763932352772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00998381966176386,0.0,0.0,0.0,0.0,0.0,0.00998381966176386,0.0,0.00998381966176386,0.0,0.0,0.0,0.0,0.0,0.00998381966176386,0.0,0.0,0.0,0.0,0.0,0.00998381966176386,0.0,0.0,0.0,0.0,0.0,0.0,0.01996763932352772,0.0,0.00998381966176386,0.00998381966176386,0.0,0.0,0.0,0.0,0.7587702942940534,0.08985437695587475,0.08985437695587475,0.06988673763234703,0.049919098308819305,0.18969257357351335,0.029951458985291585,0.23961167188233268,0.029951458985291585,0.0,0.0,0.049919098308819305,0.0,0.0,0.289530770191152,0.049919098308819305,0.03993527864705544,0.05990291797058317,0.00998381966176386,0.2795469505293881,0.00998381966176386,0.23961167188233268,0.029951458985291585,0.00998381966176386,0.01996763932352772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029951458985291585,0.07987055729411088,0.0,0.0,0.0,0.01996763932352772,0.01996763932352772,0.0,0.0,0.0,0.31948222917644353,2.106585948632175,0.08985437695587475,0.0,0.0,0.05990291797058317,0.1797087539117495,0.0,0.0,0.0,0.09983819661763861,0.34943368816173515,0.0,0.1297896556029302,0.01996763932352772,0.03993527864705544,0.0,0.00998381966176386
"albany,OR",55776,65587,271100.0,12734,6847,2174,2087,0.03741752725,0.1617362306,56348,69777,321600,12930,7048,2546,1830,0.03247675161,0.1702633634,56773,73809,352900,12969,7228,2742,1646,0.02899265496,0.1756116464,0,2,2,0,0,0,0,1,0,0,24.307329188170435,1.1479369530401726,0.465379845827097,0.34127855360653775,0.5274304919373766,0.0930759691654194,0.155126615275699,0.031025323055139796,0.1861519383308388,0.2171772613859786,0.031025323055139796,0.24820258444111837,0.031025323055139796,0.06205064611027959,0.031025323055139796,0.0,0.1861519383308388,0.155126615275699,0.0930759691654194,0.12410129222055918,0.0930759691654194,0.0,0.0,0.0,0.06205064611027959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031025323055139796,0.0,0.0,0.0,0.0,0.0,0.031025323055139796,0.0,0.031025323055139796,0.0,0.0,0.0,0.0,0.0,0.031025323055139796,0.0,0.0,0.0,0.0,0.0,0.031025323055139796,0.0,0.0,0.0,0.0,0.0,0.0,0.06205064611027959,0.0,0.031025323055139796,0.031025323055139796,0.0,0.0,0.0,0.0,2.357924552190625,0.2792279074962582,0.2792279074962582,0.2171772613859786,0.155126615275699,0.5894811380476562,0.0930759691654194,0.7446077533233552,0.0930759691654194,0.0,0.0,0.155126615275699,0.0,0.0,0.8997343685990542,0.155126615275699,0.12410129222055918,0.1861519383308388,0.031025323055139796,0.8687090455439144,0.031025323055139796,0.7446077533233552,0.0930759691654194,0.031025323055139796,0.06205064611027959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930759691654194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06205064611027959,1.3030635683158716,0.031025323055139796,0.0,0.0,0.031025323055139796,0.031025323055139796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"alexandria,LA",45736,43760,157100.0,9023,4665,1879,1743,0.03811002274,0.143082036,45133,49049,179900,9208,4507,1962,1548,0.0342986285,0.1433319301,44566,47357,182800,8850,4234,1876,1210,0.02715074272,0.1371000314,0,12,33,0,0,0,0,0,0,1,63.72571018265045,2.6685082985643653,1.0573334767896543,1.4601271822333322,1.8125716744965503,0.30209527908275835,0.5034921318045973,0.40279370544367776,0.6041905581655167,0.6041905581655167,0.0,0.3524444922632181,0.30209527908275835,0.40279370544367776,0.3524444922632181,0.25174606590229864,0.30209527908275835,0.3524444922632181,0.4531429186241376,0.25174606590229864,0.25174606590229864,0.05034921318045972,0.15104763954137918,0.0,0.25174606590229864,0.05034921318045972,0.0,0.15104763954137918,0.0,0.15104763954137918,0.25174606590229864,0.0,0.30209527908275835,0.30209527908275835,0.0,0.10069842636091944,0.0,0.0,0.05034921318045972,0.15104763954137918,0.0,0.05034921318045972,0.0,0.0,0.0,0.0,0.15104763954137918,0.0,0.0,0.05034921318045972,0.05034921318045972,0.0,0.15104763954137918,0.10069842636091944,0.10069842636091944,0.05034921318045972,0.0,0.0,0.05034921318045972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05034921318045972,9.516001291106889,0.4531429186241376,0.553841344985057,1.611174821774711,0.5034921318045973,1.1580319031505737,0.25174606590229864,4.3300323335195365,0.6545397713459764,0.0,0.25174606590229864,0.20139685272183888,0.0,0.0,3.6251433489931006,1.3090795426919528,0.4531429186241376,0.7048889845264362,0.40279370544367776,3.1216512171885027,0.40279370544367776,1.9636193140379292,0.05034921318045972,0.40279370544367776,0.10069842636091944,0.15104763954137918,0.15104763954137918,0.20139685272183888,0.10069842636091944,0.0,0.10069842636091944,0.0,0.05034921318045972,0.0,0.0,0.05034921318045972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05034921318045972,0.9566350504287349,0.15104763954137918,0.0,0.05034921318045972,0.0,0.3524444922632181,0.0,0.0,0.0,0.05034921318045972,0.0,0.0,0.05034921318045972,0.05034921318045972,0.0,0.0,0.05034921318045972
"alexandria,VA",158185,105450,579100.0,31857,37240,28301,3244,0.02050763347,0.4143313209,157594,113179,655700,31933,37901,28147,3197,0.02028630532,0.4191022501,156788,113638,696800,31674,37319,28341,3315,0.02114319973,0.4187820496,0,457,38,0,0,0,0,0,0,1,18.113631145240706,0.21560073104405386,0.08542670475330437,0.11797021132599175,0.14644577957709318,0.024407629929515534,0.04067938321585922,0.032543506572687377,0.04881525985903107,0.04881525985903107,0.0,0.028475568251101455,0.024407629929515534,0.032543506572687377,0.028475568251101455,0.02033969160792961,0.024407629929515534,0.028475568251101455,0.036611444894273294,0.02033969160792961,0.02033969160792961,0.004067938321585922,0.012203814964757767,0.0,0.02033969160792961,0.004067938321585922,0.0,0.012203814964757767,0.0,0.012203814964757767,0.02033969160792961,0.0,0.024407629929515534,0.024407629929515534,0.0,0.008135876643171844,0.0,0.0,0.004067938321585922,0.012203814964757767,0.0,0.004067938321585922,0.0,0.0,0.0,0.0,0.012203814964757767,0.0,0.0,0.004067938321585922,0.004067938321585922,0.0,0.012203814964757767,0.008135876643171844,0.008135876643171844,0.004067938321585922,0.0,0.0,0.004067938321585922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004067938321585922,0.7688403427797393,0.036611444894273294,0.044747321537445144,0.1301740262907495,0.04067938321585922,0.09356258139647622,0.02033969160792961,0.3498426956563893,0.052883198180616986,0.0,0.02033969160792961,0.016271753286343688,0.0,0.0,0.29289155915418635,0.10576639636123397,0.036611444894273294,0.05695113650220291,0.032543506572687377,0.2522121759383272,0.032543506572687377,0.15864959454185096,0.004067938321585922,0.032543506572687377,0.008135876643171844,0.012203814964757767,0.012203814964757767,0.016271753286343688,0.008135876643171844,0.0,0.008135876643171844,0.0,0.004067938321585922,0.0,0.0,0.028475568251101455,0.0,0.0,0.0,0.0,0.008135876643171844,0.0,0.0,0.0,0.10169845803964805,2.151939372118953,0.012203814964757767,0.0,0.0,0.036611444894273294,0.15864959454185096,0.004067938321585922,0.0,0.0,0.008135876643171844,0.19526103943612427,0.0,0.0,0.004067938321585922,0.004067938321585922,0.0,0.0
"alhambra,CA",83174,73035,654000.0,11850,15523,5646,2341,0.0281458148,0.254514632,82295,80234,766000,12324,15815,5571,2405,0.02922413269,0.25986998,81483,85189,812700,12652,16059,5669,2438,0.02992035148,0.2666568487,0,3,19,0,0,0,0,0,0,1,8.590748990586993,0.37653555213914,0.07530711042782799,0.045184266256696796,0.030122844171131195,0.07530711042782799,0.030122844171131195,0.030122844171131195,0.0,0.225921331283484,0.030122844171131195,0.015061422085565598,0.0,0.015061422085565598,0.030122844171131195,0.045184266256696796,0.0,0.0,0.015061422085565598,0.0,0.06024568834226239,0.030122844171131195,0.0,0.030122844171131195,0.0,0.0,0.0,0.0,0.0,0.015061422085565598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015061422085565598,0.0,0.0,0.015061422085565598,0.015061422085565598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2108599091979184,0.1054299545989592,0.015061422085565598,0.030122844171131195,0.030122844171131195,0.06024568834226239,0.015061422085565598,0.045184266256696796,0.015061422085565598,0.0,0.0,0.0,0.0,0.0,0.18073706502678719,0.06024568834226239,0.09036853251339359,0.06024568834226239,0.0,0.18073706502678719,0.0,0.07530711042782799,0.09036853251339359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015061422085565598,0.0,0.0,0.0,0.12049137668452478,0.0,0.0,0.0,0.0,0.030122844171131195,0.0,0.0,0.0,0.37653555213914,3.4038813913378254,0.2108599091979184,0.0,0.0,0.1054299545989592,0.5120883509092304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"aliso viejo,CA",51943,122320,685700.0,10813,12121,5599,1217,0.02342952852,0.3411431762,51896,131708,818500,10851,12613,5345,1149,0.02214043472,0.3460382303,51320,137970,863800,10983,12754,5382,1117,0.02176539361,0.353390491,0,11,11,0,0,0,0,0,0,1,3.5074045206547155,0.4935942102766011,0.037968785405892394,0.037968785405892394,0.07593757081178479,0.037968785405892394,0.1139063562176772,0.07593757081178479,0.07593757081178479,0.0,0.037968785405892394,0.0,0.0,0.0,0.037968785405892394,0.0,0.037968785405892394,0.0,0.0,0.0,0.0,0.0,0.037968785405892394,0.0,0.0,0.0,0.0,0.0,0.037968785405892394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037968785405892394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.569531781088386,0.26578149784124677,0.0,0.15187514162356958,0.07593757081178479,0.18984392702946198,0.037968785405892394,0.037968785405892394,0.037968785405892394,0.0,0.037968785405892394,0.0,0.0,0.0,0.15187514162356958,0.07593757081178479,0.037968785405892394,0.07593757081178479,0.0,0.15187514162356958,0.0,0.07593757081178479,0.0,0.037968785405892394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07593757081178479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41765663946481635,10.365478415808624,0.037968785405892394,0.0,0.0,0.1139063562176772,0.07593757081178479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
