city,fortune,sbs
abilene,0,11
akron,2,21
alameda,0,6
albany,0,35
albuquerque,0,192
alexandria,0,469
alhambra,0,3
aliso viejo,0,11
allen,0,24
allentown,2,18
alpharetta,0,82
altamonte springs,0,15
altoona,0,11
amarillo,0,19
ames,0,1
anaheim,0,35
anchorage,0,328
anderson,0,5
ankeny,1,7
ann arbor,0,20
antioch,0,16
apex,0,31
apopka,0,26
apple valley,0,10
appleton,0,6
arcadia,0,6
arlington,0,69
arlington heights,0,9
arvada,0,20
asheville,0,8
athens,0,10
atlanta,13,602
attleboro,0,5
auburn,0,17
augusta,0,64
aurora,0,84
austin,2,231
avondale,0,9
azusa,0,1
bakersfield,0,47
baltimore,0,253
bartlett,0,8
baton rouge,0,113
battle creek,1,12
bayonne,0,3
baytown,0,4
beaumont,0,18
beavercreek,0,22
beaverton,1,11
bedford,0,3
belleville,0,24
bellevue,2,36
bellflower,0,5
bellingham,0,11
bend,0,21
bentonville,1,12
berkeley,0,10
berwyn,0,2
bethlehem,0,14
beverly,0,5
billings,0,22
biloxi,0,20
binghamton,0,6
birmingham,1,77
bismarck,0,14
blacksburg,0,9
blaine,0,4
bloomfield,0,4
bloomington,1,29
blue springs,0,6
boca raton,1,43
boise,2,70
bolingbrook,0,6
bonita springs,0,8
bossier city,0,13
boston,3,28
bothell,0,14
boulder,0,17
bountiful,0,5
bowie,0,167
bowling green,0,9
boynton beach,0,26
bozeman,0,19
bradenton,0,43
brea,0,7
bremerton,0,15
brentwood,3,21
brick,0,3
bridgeport,0,13
bridgewater,0,6
bristol,0,4
brockton,0,12
broken arrow,0,29
brookhaven,0,13
brookline,0,3
brooklyn park,0,3
broomfield,2,13
brownsville,0,11
bryan,0,13
buckeye,0,22
buena park,0,7
buffalo,1,41
buffalo grove,0,2
burbank,1,18
burien,0,2
burleson,0,17
burlington,1,15
burnsville,0,8
caldwell,0,10
camarillo,0,21
cambridge,1,10
camden,1,6
campbell,0,9
canton,0,25
cape coral,0,34
carlsbad,0,53
carmel,0,30
carrollton,0,25
carson,0,7
carson city,0,5
cary,0,42
casa grande,0,13
casper,0,9
castle rock,0,24
cathedral city,0,1
cedar hill,0,26
cedar park,0,19
cedar rapids,1,10
centennial,1,34
ceres,0,3
cerritos,0,7
champaign,0,5
chandler,0,52
chapel hill,0,16
charleston,0,75
charlotte,4,253
charlottesville,0,30
chattanooga,1,26
cherry hill,0,16
chesapeake,1,170
chesterfield,1,11
cheyenne,0,27
chicago,9,286
chico,0,16
chicopee,0,4
chino,0,18
chino hills,0,7
chula vista,0,82
cicero,0,1
cincinnati,6,83
citrus heights,0,6
clarksville,0,64
clearwater,1,38
clermont,0,30
cleveland,3,77
cleveland heights,0,3
clovis,0,20
coconut creek,0,16
college station,0,11
collierville,0,11
colorado springs,0,284
colton,0,1
columbia,0,152
columbus,6,175
commerce city,0,12
compton,0,13
concord,0,38
conroe,0,35
conway,0,11
coppell,0,8
coral gables,0,21
coral springs,0,30
corona,0,35
corpus christi,0,40
corvallis,0,2
costa mesa,0,10
council bluffs,0,2
covina,0,5
cranston,0,9
cupertino,1,4
cutler bay,0,9
cuyahoga falls,0,2
cypress,0,10
dallas,9,239
daly city,0,2
danbury,1,6
danville,0,11
davenport,0,13
davie,0,21
davis,0,5
dayton,0,83
daytona beach,0,19
dearborn,1,8
dearborn heights,0,3
decatur,1,18
deerfield beach,0,13
delray beach,0,30
deltona,0,15
denton,0,13
denver,1,182
des moines,1,17
des plaines,0,11
desoto,0,28
detroit,3,128
diamond bar,0,8
doral,0,35
dothan,0,17
downers grove,2,9
downey,0,5
draper,0,9
dublin,2,24
dubuque,0,1
duluth,0,10
dunwoody,0,4
durham,1,42
eagan,0,5
eagle mountain,0,2
east brunswick,0,4
east hartford,0,3
east lansing,0,7
east orange,0,7
east providence,0,3
eastvale,0,9
eau claire,0,2
eden prairie,2,4
edina,0,5
edinburg,0,8
edison,0,5
edmond,0,42
edmonds,0,6
el cajon,0,41
el centro,0,3
el monte,0,4
el paso,1,197
elgin,0,10
elizabeth,0,12
elk grove,0,22
elkhart,0,5
elmhurst,0,8
elyria,0,5
encinitas,0,15
enid,0,2
erie,1,24
escondido,0,49
euclid,0,3
eugene,0,13
euless,0,5
evanston,0,9
evansville,1,19
everett,0,10
evesham,0,1
fairfield,2,23
fall river,0,11
fargo,0,19
farmington,0,1
farmington hills,0,7
fayetteville,0,146
federal way,0,10
fishers,0,35
flagstaff,0,9
flint,0,26
florissant,0,26
flower mound,0,21
folsom,0,19
fond du lac,0,5
fontana,0,8
fort collins,0,33
fort lauderdale,1,83
fort myers,0,47
fort pierce,0,18
fort smith,0,7
fort wayne,1,33
fort worth,2,179
fountain valley,0,4
framingham,2,3
franklin,1,35
frederick,0,96
freeport,0,7
fremont,2,11
fresno,0,39
frisco,0,64
fullerton,0,16
gainesville,0,49
gaithersburg,0,121
gallatin,0,4
galveston,0,6
garden grove,0,10
gardena,0,17
garland,0,21
gary,0,5
gastonia,0,15
georgetown,0,45
gilbert,0,51
gilroy,0,10
glendale,1,50
glendora,0,4
glenview,2,8
goodyear,0,22
goose creek,0,18
