,city,city_name,state_code,n_restaurants,n_cuisine,n_cuisine_mexican,n_cuisine_pizza,n_cuisine_american,n_cuisine_japanese,n_cuisine_thai,n_cuisine_sushi,n_cuisine_italian,n_cuisine_chinese,n_cuisine_korean,n_cuisine_burger,n_cuisine_mediterranean,n_cuisine_breakfast,n_cuisine_seafood,n_cuisine_asian,n_cuisine_indian,n_cuisine_barbecue,n_cuisine_sandwich,n_cuisine_steak_house,n_cuisine_vietnamese,n_cuisine_noodle,n_cuisine_chicken,n_cuisine_ramen,n_cuisine_french,n_cuisine_pasta,n_cuisine_filipino,n_cuisine_coffee_shop,n_cuisine_salad,n_cuisine_pancake,n_cuisine_peruvian,n_cuisine_hawaiian,n_cuisine_greek,n_cuisine_regional,n_cuisine_poke,n_cuisine_lebanese,n_cuisine_kebab,n_cuisine_fish,n_cuisine_spanish,n_cuisine_diner,n_cuisine_tacos,n_cuisine_dessert,n_cuisine_deli,n_cuisine_ice_cream,n_cuisine_brazilian,n_cuisine_middle_eastern,n_cuisine_tex-mex,n_cuisine_lunch,n_cuisine_grill,n_cuisine_brunch,n_cuisine_southern,n_cuisine_italian_pizza,n_cuisine_latin_american,n_cuisine_wings,n_cuisine_german,n_cuisine_steak,n_cuisine_bagel,n_cuisine_tapas,n_cuisine_fish_and_chips,n_cuisine_international,n_cuisine_jamaican,n_cuisine_turkish,n_cuisine_cajun,n_cuisine_soup,n_cuisine_buffet,n_cuisine_donut,n_cuisine_mongolian_grill,n_cuisine_caribbean,n_cuisine_hot_dog,n_cuisine_bar_and_grill,n_venues,n_venue_type,n_venue_bar,n_venue_fitness_centre,n_venue_theatre,n_venue_sports_centre,n_venue_cinema,n_venue_public_bookcase,n_venue_pub,n_venue_nightclub,n_venue_arts_centre,n_venue_stadium,n_venue_public_building,n_venue_casino,n_cafe,n_cafe_cuisine,n_cafe_brand,n_cafe_brand_Starbucks,n_cafe_brand_Dunkin',n_cafe_amenity_cafe,n_cafe_amenity_fast_food,n_cafe_cuisine_coffee_shop,n_cafe_cuisine_bubble_tea,n_cafe_cuisine_donut,n_cafe_cuisine_sandwich,n_cafe_cuisine_breakfast,n_cafe_cuisine_american,n_cafe_cuisine_coffee,n_cafe_cuisine_pastry,n_cafe_cuisine_tea,n_cafe_cuisine_dessert,n_cafe_cuisine_bagel,n_cafe_cuisine_ice_cream,n_cafe_brand_Tim_Hortons,n_cafe_brand_Dutch_Bros._Coffee
0,"New York, NY",New York,NY,7580,292.0,498.0,642.0,388.0,451.0,258.0,297.0,627.0,695.0,134.0,109.0,125.0,82.0,177.0,170.0,219.0,67.0,96.0,74.0,92.0,35.0,65.0,71.0,108.0,19.0,17.0,29.0,24.0,22.0,47.0,6.0,90.0,14.0,5.0,18.0,11.0,9.0,56.0,127.0,23.0,15.0,10.0,15.0,17.0,56.0,15.0,5.0,4.0,59.0,15.0,7.0,80.0,12.0,15.0,21.0,17.0,14.0,1.0,14.0,26.0,54.0,13.0,10.0,3.0,5.0,0.0,81.0,3.0,1.0,3492,23.0,1410.0,605.0,276.0,272.0,69.0,177.0,377.0,106.0,145.0,26.0,4.0,1.0,2860,115,53,269.0,373.0,2446.0,402.0,1365.0,131.0,406.0,228.0,183.0,32.0,24.0,83.0,17.0,20.0,95.0,33.0,8.0,0.0
1,"Los Angeles, CA",Los Angeles,CA,2709,163.0,278.0,164.0,160.0,134.0,131.0,125.0,118.0,96.0,95.0,79.0,62.0,61.0,61.0,56.0,53.0,51.0,39.0,34.0,33.0,29.0,28.0,27.0,24.0,17.0,17.0,17.0,17.0,16.0,15.0,15.0,12.0,12.0,10.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,994,13.0,216.0,204.0,160.0,151.0,54.0,54.0,52.0,41.0,31.0,28.0,1.0,0.0,800,78,29,173.0,18.0,774.0,22.0,394.0,65.0,41.0,20.0,19.0,13.0,13.0,11.0,10.0,9.0,8.0,3.0,0.0,0.0
2,"Chicago, IL",Chicago,IL,2316,154.0,293.0,211.0,207.0,64.0,70.0,101.0,120.0,114.0,51.0,36.0,38.0,44.0,47.0,65.0,56.0,37.0,26.0,36.0,32.0,14.0,28.0,15.0,22.0,9.0,8.0,5.0,10.0,10.0,5.0,4.0,23.0,5.0,1.0,2.0,7.0,5.0,8.0,8.0,13.0,2.0,1.0,5.0,5.0,38.0,8.0,4.0,3.0,9.0,14.0,0.0,9.0,13.0,3.0,15.0,0.0,11.0,1.0,3.0,8.0,4.0,3.0,2.0,0.0,1.0,0.0,5.0,3.0,2.0,1668,13.0,835.0,193.0,96.0,280.0,25.0,52.0,99.0,23.0,41.0,18.0,0.0,1.0,954,43,28,133.0,187.0,763.0,187.0,506.0,34.0,195.0,14.0,9.0,8.0,8.0,4.0,8.0,4.0,0.0,2.0,0.0,0.0
3,"Houston, TX",Houston,TX,1489,111.0,167.0,108.0,128.0,32.0,27.0,25.0,56.0,109.0,20.0,38.0,20.0,26.0,74.0,34.0,25.0,39.0,21.0,31.0,45.0,10.0,14.0,18.0,11.0,2.0,0.0,7.0,5.0,15.0,1.0,3.0,10.0,3.0,0.0,7.0,3.0,0.0,3.0,1.0,7.0,3.0,1.0,3.0,3.0,3.0,28.0,0.0,3.0,0.0,1.0,0.0,7.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,10.0,1.0,15.0,2.0,0.0,2.0,2.0,0.0,1018,15.0,202.0,103.0,34.0,507.0,19.0,7.0,54.0,34.0,8.0,41.0,4.0,2.0,313,44,18,102.0,8.0,301.0,9.0,178.0,40.0,11.0,0.0,2.0,4.0,2.0,3.0,5.0,3.0,1.0,5.0,2.0,1.0
4,"Phoenix, AZ",Phoenix,AZ,867,74.0,157.0,94.0,102.0,17.0,21.0,24.0,33.0,31.0,6.0,20.0,5.0,31.0,20.0,23.0,11.0,15.0,13.0,11.0,16.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,10.0,1.0,7.0,8.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,8.0,1.0,0.0,2.0,0.0,2.0,1.0,8.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,457,12.0,111.0,123.0,29.0,70.0,11.0,10.0,63.0,17.0,3.0,18.0,0.0,0.0,255,25,12,79.0,15.0,235.0,16.0,199.0,9.0,18.0,2.0,8.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,8.0
5,"Philadelphia, PA",Philadelphia,PA,904,111.0,41.0,94.0,69.0,27.0,20.0,14.0,36.0,78.0,9.0,16.0,12.0,15.0,15.0,26.0,22.0,5.0,29.0,6.0,15.0,7.0,6.0,10.0,5.0,6.0,0.0,5.0,8.0,3.0,1.0,1.0,11.0,5.0,2.0,1.0,0.0,1.0,2.0,10.0,2.0,2.0,2.0,2.0,1.0,6.0,2.0,0.0,1.0,3.0,1.0,4.0,5.0,3.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,657,14.0,167.0,89.0,60.0,68.0,13.0,122.0,92.0,12.0,16.0,9.0,0.0,2.0,372,37,14,32.0,88.0,280.0,90.0,212.0,16.0,90.0,10.0,3.0,5.0,6.0,3.0,5.0,6.0,3.0,3.0,0.0,0.0
6,"San Antonio, TX",San Antonio,TX,1034,77.0,158.0,81.0,81.0,13.0,15.0,11.0,29.0,29.0,4.0,27.0,7.0,25.0,47.0,26.0,4.0,31.0,16.0,26.0,16.0,0.0,9.0,6.0,3.0,1.0,0.0,6.0,5.0,19.0,0.0,1.0,3.0,8.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,0.0,24.0,0.0,3.0,1.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,6.0,2.0,0.0,0.0,3.0,3.0,503,13.0,123.0,80.0,48.0,129.0,21.0,5.0,29.0,15.0,14.0,33.0,4.0,1.0,159,9,10,50.0,14.0,145.0,14.0,110.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0
7,"San Diego, CA",San Diego,CA,1332,114.0,129.0,89.0,88.0,75.0,44.0,61.0,67.0,60.0,36.0,26.0,29.0,37.0,34.0,21.0,30.0,21.0,20.0,12.0,39.0,14.0,19.0,20.0,8.0,4.0,4.0,3.0,7.0,10.0,2.0,6.0,13.0,12.0,0.0,6.0,6.0,5.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,1.0,5.0,0.0,4.0,0.0,1.0,2.0,1.0,4.0,1.0,3.0,0.0,1.0,2.0,4.0,2.0,1.0,2.0,5.0,0.0,2.0,1.0,2.0,0.0,0.0,712,13.0,289.0,141.0,72.0,63.0,24.0,26.0,49.0,16.0,13.0,16.0,1.0,0.0,494,44,23,104.0,6.0,480.0,10.0,231.0,47.0,8.0,19.0,15.0,14.0,4.0,2.0,12.0,8.0,6.0,6.0,0.0,0.0
8,"Dallas, TX",Dallas,TX,949,86.0,111.0,76.0,73.0,12.0,19.0,21.0,41.0,18.0,5.0,25.0,12.0,16.0,23.0,27.0,15.0,21.0,10.0,14.0,8.0,1.0,10.0,5.0,6.0,3.0,1.0,4.0,4.0,6.0,0.0,1.0,3.0,9.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,35.0,0.0,3.0,2.0,3.0,0.0,1.0,5.0,1.0,4.0,0.0,2.0,0.0,1.0,0.0,1.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,368,13.0,152.0,76.0,20.0,41.0,15.0,1.0,25.0,21.0,3.0,10.0,2.0,0.0,152,16,6,41.0,4.0,146.0,5.0,99.0,8.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
9,"San Jose, CA",San Jose,CA,914,110.0,124.0,84.0,36.0,35.0,23.0,36.0,26.0,67.0,21.0,13.0,9.0,17.0,32.0,16.0,26.0,23.0,7.0,7.0,119.0,36.0,7.0,9.0,2.0,3.0,6.0,2.0,1.0,5.0,1.0,4.0,5.0,6.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,3.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,376,17.0,73.0,93.0,28.0,76.0,8.0,21.0,22.0,17.0,10.0,16.0,2.0,4.0,301,27,27,68.0,3.0,294.0,4.0,125.0,66.0,10.0,8.0,4.0,1.0,0.0,0.0,7.0,3.0,5.0,0.0,0.0,0.0
